objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,dimensions,type,format,language,rights,rightsstatement
stt001,img_1374.jpg,,Untitled,Stephen Takats,2007,oil on board, trees in snow,,,,private collection,845,"12""x16""",Image;StillImage,image/jpeg,eng,,rights
stt002,img_1370.jpg,,Untitled,Stephen Takats,2007-07-31,oil on board," Exercise in greens: road through cornfields""",,,,private collection,841,"10""x14""",Image;StillImage,image/jpeg,eng,,rights
stt003,img_1377.jpg,,Untitled,Stephen Takats,2006-02-26,oil on board, house and telelphone poles; winter,,,,private collection,847,"10""x14""",Image;StillImage,image/jpeg,eng,,rights
stt004,img_1373.jpg,,Untitled,Stephen Takats,2007-06-01,oil on board, tree study*,Morris Arboretum,40.089311,-75.22265,private collection,844,"10""x14""",Image;StillImage,image/jpeg,eng,,rights
stt005,img_1411.jpg,,Untitled,Stephen Takats,2008-02-17,oil on board, male model back,"Philadelphia, PA",40.07390939,-75.19562617,private collection,876,"14""x12""",Image;StillImage,image/jpeg,eng,,rights
stt006,img_1405.jpg,,Untitled,Stephen Takats,2009-09-13,oil on board, beached sailboat,Cape Cod,41.931941,-70.03214,private collection,870,"8""x12""",Image;StillImage,image/jpeg,eng,,rights
stt007,img_1372.jpg,,Untitled,Stephen Takats,2007-07-31,oil on board, view of farm,,,,private collection,843,"10""x14""",Image;StillImage,image/jpeg,eng,,rights
stt008,/objects/img_1408.jpg,,Untitled,Stephen Takats,2008-09-08,oil on canvasboard, screen of trees and bay,Cape Cod,41.931941,-70.03214,private collection,873,"11""x14""",Image;StillImage,image/jpeg,eng,,rights
stt009,img_1368.jpg,,Untitled,Stephen Takats,2007-11-30,oil on board,,Cape Cod,41.931941,-70.03214,private collection,839,"12""x12""",Image;StillImage,image/jpeg,eng,,rights
stt010,img_1388.jpg,,Lemon Hill,Stephen Takats,2008-12-02,oil on board,"block on Lemon Hill with yellow house, road in front","Lemon Hill, Philadelphia",39.970931,-75.187071,private collection,853,"8""x16""",Image;StillImage,image/jpeg,eng,,rights
stt011,img_1962.jpg,,Untitled,Stephen Takats,1945,graphite on paper,drawing of grandfather with high-collared winter coat*,"Binghamton, NY",42.08455808,-76.05353147,private collection,1232,"13""x10""",Image;StillImage,image/jpeg,eng,,rights